month,level_1,level_2,level_3,value
1978-10,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,829.6
1978-10,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,994.3
1978-10,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,8506.6
1978-10,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,4813.9
1978-10,Total International Visitor Arrivals By Country Of Residence,Europe,France,2938
1978-10,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1648.7
1978-10,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3435.6
1978-10,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1753.5
1978-10,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,622.3
1978-10,Total International Visitor Arrivals By Country Of Residence,Americas,USA,10964.6
1978-10,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1496.4
1978-10,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,18192.2
1978-10,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4461.2
1978-11,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,70816.7
1978-11,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,20703.4
1978-11,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4857.9
1978-11,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,3597
1978-11,Total International Visitor Arrivals By Country Of Residence,Asia,India,6285.6
1978-11,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,678.8
1978-11,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,992.6
1978-11,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,9281.1
1978-11,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,5338.1
1978-11,Total International Visitor Arrivals By Country Of Residence,Europe,France,3146.8
1978-11,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1954.8
1978-11,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3045.9
1978-11,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1608.4
1978-11,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,536.1
1978-11,Total International Visitor Arrivals By Country Of Residence,Americas,USA,10346.7
1978-11,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1509.8
1978-11,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,17156.8
1978-11,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4293.9
1978-12,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,71328.5
1978-12,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,18703.8
1978-12,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4539.6
1978-12,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,3006.6
1978-12,Total International Visitor Arrivals By Country Of Residence,Asia,India,5047.9
1978-12,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,714.3
1978-12,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,1092.6
1978-12,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,8855.9
1978-12,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,5007.6
1978-12,Total International Visitor Arrivals By Country Of Residence,Europe,France,2752.9
1978-12,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1725.1
1978-12,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3187.1
1978-12,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1494.6
1978-12,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,549.3
1978-12,Total International Visitor Arrivals By Country Of Residence,Americas,USA,9373.6
1978-12,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1430.8
1978-12,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,19857.4
1978-12,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4910.5
1979-01,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,71736.8
1979-01,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,19226.5
1979-01,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,5619.4
1979-01,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,2494.3
1979-01,Total International Visitor Arrivals By Country Of Residence,Asia,India,6209.7
1979-01,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,852.5
1979-01,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,1164.5
1979-01,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,9408.2
1979-01,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,5303.8
1979-01,Total International Visitor Arrivals By Country Of Residence,Europe,France,3291.6
1979-01,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2063.8
1979-01,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3254.2
1979-01,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1475.6
1979-01,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,769.5
1979-01,Total International Visitor Arrivals By Country Of Residence,Americas,USA,9416.7
1979-01,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1394.3
1979-01,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,19777
1979-01,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4669.1
1979-02,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,69693.7
1979-02,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,19626.7
1979-02,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4546.8
1979-02,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,3343.3
1979-02,Total International Visitor Arrivals By Country Of Residence,Asia,India,6001.1
1979-02,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,828.4
1979-02,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,1070.4
1979-02,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,9462.7
1979-02,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,5397.9
1979-02,Total International Visitor Arrivals By Country Of Residence,Europe,France,3642.9
1979-02,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1786.9
1979-02,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3155.7
1979-02,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1487
1979-02,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,549.8
1979-02,Total International Visitor Arrivals By Country Of Residence,Americas,USA,8820.9
1979-02,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1438.4
1979-02,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,18194.5
1979-02,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4257.3
1979-03,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,75201
1979-03,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,18514.6
1979-03,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4818.8
1979-03,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,3874.6
1979-03,Total International Visitor Arrivals By Country Of Residence,Asia,India,6826.9
1979-03,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,843.3
1979-03,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,1129.9
1979-03,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,9234.4
1979-03,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,5359.2
1979-03,Total International Visitor Arrivals By Country Of Residence,Europe,France,3522.3
1979-03,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1884.9
1979-03,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3202.5
1979-03,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1537.9
1979-03,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,1033.9
1979-03,Total International Visitor Arrivals By Country Of Residence,Americas,USA,9737.1
1979-03,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1373.8
1979-03,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,16924.4
1979-03,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4676.1
1979-04,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,74163.2
1979-04,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,20081.3
1979-04,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4918.9
1979-04,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,4218.2
1979-04,Total International Visitor Arrivals By Country Of Residence,Asia,India,6619.2
1979-04,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,782.9
1979-04,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,1185.1
1979-04,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,9444.1
1979-04,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,5538.8
1979-04,Total International Visitor Arrivals By Country Of Residence,Europe,France,3778.1
1979-04,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1743.9
1979-04,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3487.4
1979-04,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1698.8
1979-04,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,832.6
1979-04,Total International Visitor Arrivals By Country Of Residence,Americas,USA,10223.1
1979-04,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1453.2
1979-04,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,17281
1979-04,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,5184.5
